SYMBOL,CURRENCY,COMPANY NAME,GICS INDUSTRY GROUP,STOCK TYPE,PE,ASX200 WEIGHT,SHORTSELL%,VOLUME-ABOVE-AVG,VALUE($),LASTCLOSE,CHANGEPCT%,REPORTDATE,RECORDDATE
DE,USD,DEERE & CO,,,,,,,,,,2021-02-19,2021-07-13
ASX-CWY,AUD,CLEANAWAY WASTE MANAGEMENT LTD,Commercial & Professional Services,ASX200,0.0,0.24,0.08%,905.84%,"17,809,629",,-1.53%,2021-02-19,2021-07-13
ASX-COH,AUD,COCHLEAR LTD,Health Care Equipment & Services,ASX200,0.0,0.74,0.02%,0.00%,"50,512,452",,-1.29%,2021-02-19,2021-07-13
ASX-EOL,AUD,ENERGY ONE LTD,Software & Services,NORMAL,0.0,0.0,0.00%,0.28%,"56,587",,1.73%,2021-02-19,2021-07-13
ASX-GMG,AUD,GOODMAN GROUP,Real Estate,ASX200,0.0,1.63,0.10%,1345.68%,"108,418,297",,0.14%,2021-02-19,2021-07-13
ASX-PTM,AUD,PLATINUM ASSET MANAGEMENT LTD,Diversified Financials,ASX200,0.0,0.13,0.02%,0.00%,"3,740,318",,-1.73%,2021-02-19,2021-07-13
ASX-QBE,AUD,QBE INSURANCE GROUP LTD,Insurance,ASX200,0.0,0.74,0.01%,52.90%,"58,911,132",,-1.69%,2021-02-19,2021-07-13
ASX-SGP,AUD,STOCKLAND CORPORATION LTD,Real Estate,ASX200,0.0,0.49,0.03%,532.10%,"25,646,473",,-1.74%,2021-02-19,2021-07-13
ASX-AD8,AUD,AUDINATE GROUP LTD,Technology Hardware & Equipment,NORMAL,0.0,0.0,0.00%,12.80%,"5,566,304",,6.73%,2021-02-21,2021-07-13
ASX-BSE,AUD,BASE RESOURCES LTD,Materials,PENNY STOCK,9.7,0.0,0.00%,51.04%,"64,310",0.2901,3.51%,2021-02-21,2021-07-13
ASX-BIN,AUD,BINGO INDUSTRIES LTD,Commercial & Professional Services,ASX200,0.0,0.1,0.01%,40.48%,"5,644,573",,-0.29%,2021-02-21,2021-07-13
ASX-FLT,AUD,FLIGHT CENTRE TRAVEL GROUP LTD,Consumer Services,ASX200,0.0,0.16,0.11%,9569.29%,"51,947,784",,-3.89%,2021-02-21,2021-07-13
ASX-GDI,AUD,GDI PROPERTY GROUP LTD,Real Estate,NORMAL,0.0,0.0,0.02%,97.68%,"1,763,344",,0.92%,2021-02-21,2021-07-13
ASX-IDX,AUD,INTEGRAL DIAGNOSTICS LTD,Health Care Equipment & Services,NORMAL,0.0,0.0,0.01%,229.33%,"1,831,071",,-0.57%,2021-02-21,2021-07-13
ASX-NHF,AUD,NIB HOLDINGS LTD,Insurance,ASX200,0.0,0.12,0.02%,0.00%,"2,493,753",,-1.99%,2021-02-21,2021-07-13
ASX-OML,AUD,OOH!MEDIA LTD,Media & Entertainment,ASX200,0.0,0.04,0.01%,871.52%,"2,007,931",,-2.67%,2021-02-21,2021-07-13
ASX-PWH,AUD,PWR HOLDINGS LTD,Automobiles & Components,NORMAL,0.0,0.0,0.00%,0.00%,"322,364",,0.00%,2021-02-21,2021-07-13
ASX-TYR,AUD,TYRO PAYMENTS LTD,Software & Services,NORMAL,0.0,0.0,0.01%,0.00%,"4,197,900",,-1.35%,2021-02-21,2021-07-13
OXY,USD,OCCIDENTAL PETROLEUM CORP,,,,,,,,,,2021-02-22,2021-07-13
O,USD,REALTY INCOME CORP,,,,,,,,,,2021-02-22,2021-07-13
ASX-3PL,AUD,3P LEARNING LTD,Consumer Services,NORMAL,128.0,0.0,0.00%,0.57%,"9,905",1.28,0.00%,2021-02-22,2021-07-13
ASX-88E,AUD,88 ENERGY LTD,Energy,PENNY STOCK,,0.0,0.00%,0.00%,"4,285,689",0.0342,-13.51%,2021-02-22,2021-07-13
ASX-ACF,AUD,ACROW FORMWORK AND CONSTRUCTION SERVICES LTD,Capital Goods,NORMAL,21.0,0.0,0.00%,120253.13%,"1,050,639",0.42,0.00%,2021-02-22,2021-07-13
ASX-AGI,AUD,AINSWORTH GAME TECHNOLOGY LTD,Consumer Services,NORMAL,-4.4,0.0,0.00%,2.26%,"64,787",1.19,2.52%,2021-02-22,2021-07-13
ASX-ALD,AUD,AMPOL LTD,Energy,NORMAL,0.0,0.0,0.04%,10.06%,"30,437,012",,1.46%,2021-02-22,2021-07-13
ASX-APA,AUD,APA GROUP,Utilities,ASX200,0.0,0.79,0.03%,2662.58%,"38,091,042",,1.45%,2021-02-22,2021-07-13
ASX-ATL,AUD,APOLLO TOURISM & LEISURE LTD,Automobiles & Components,PENNY STOCK,-1.0,0.0,0.00%,5.33%,"93,186",0.4201,0.00%,2021-02-22,2021-07-13
ASX-ALI,AUD,ARGO GLOBAL LISTED INFRASTRUCTURE LTD,Not Applic,NORMAL,0.0,0.0,0.00%,0.47%,"84,773",,0.00%,2021-02-22,2021-07-13
ASX-AUB,AUD,AUB GROUP LTD,Insurance,NORMAL,0.0,0.0,0.01%,9.83%,"2,431,615",,-1.93%,2021-02-22,2021-07-13
ASX-AOF,AUD,AUSTRALIAN UNITY OFFICE FUND,Real Estate,NORMAL,0.0,0.0,0.00%,0.88%,"240,882",,2.08%,2021-02-22,2021-07-13
ASX-BSE,AUD,BASE RESOURCES LTD,Materials,PENNY STOCK,9.7,0.0,0.00%,51.04%,"64,310",0.2901,3.51%,2021-02-22,2021-07-13
ASX-BSL,AUD,BLUESCOPE STEEL LTD,Materials,ASX200,0.0,0.33,0.02%,28.36%,"36,705,390",,-2.03%,2021-02-22,2021-07-13
ASX-CGC,AUD,COSTA GROUP HOLDINGS LTD,"Food, Beverage & Tobacco",ASX200,0.0,0.07,0.36%,63586.93%,"6,665,395",,-0.92%,2021-02-22,2021-07-13
ASX-EHE,AUD,ESTIA HEALTH LTD,Health Care Equipment & Services,ASX200,0.0,0.02,0.00%,70.40%,"340,152",,-0.43%,2021-02-22,2021-07-13
ASX-FLN,AUD,FREELANCER LTD,Commercial & Professional Services,NORMAL,,0.0,0.00%,1316.53%,"400,070",,-4.65%,2021-02-22,2021-07-13
ASX-JLG,AUD,JOHNS LYNG GROUP LTD,Capital Goods,NORMAL,0.0,0.0,0.00%,0.00%,"1,605,278",,-0.41%,2021-02-22,2021-07-13
ASX-LLC,AUD,LENDLEASE GROUP,Real Estate,ASX200,0.0,0.5,0.10%,337.76%,"42,336,422",,1.83%,2021-02-22,2021-07-13
ASX-MAH,AUD,MACMAHON HOLDINGS LTD,Materials,PENNY STOCK,4.8,0.0,0.00%,4796.46%,"152,764",0.1901,2.56%,2021-02-22,2021-07-13
ASX-MNF,AUD,MNF GROUP LTD,Telecommunication Services,NORMAL,0.0,0.0,0.00%,0.28%,"76,981",,0.96%,2021-02-22,2021-07-13
ASX-NXS,AUD,NEXT SCIENCE LTD,Health Care Equipment & Services,NORMAL,0.0,0.0,0.00%,0.00%,"315,096",,3.21%,2021-02-22,2021-07-13
ASX-PRN,AUD,PERENTI GLOBAL LTD,Materials,PENNY STOCK,-6.6,0.05,0.09%,0.00%,"4,763,573",0.73,4.76%,2021-02-22,2021-07-13
ASX-PNV,AUD,POLYNOVO LTD,Health Care Equipment & Services,ASX200,0.0,0.1,0.10%,21.61%,"5,466,534",,-2.10%,2021-02-22,2021-07-13
ASX-RWC,AUD,RELIANCE WORLDWIDE CORPORATION LTD,Capital Goods,ASX200,0.0,0.14,0.14%,11.70%,"7,395,539",,-1.34%,2021-02-22,2021-07-13
ASX-SND,AUD,SAUNDERS INTERNATIONAL LTD,Capital Goods,PENNY STOCK,25.9,0.0,0.00%,0.00%,0,0.7758,0.00%,2021-02-22,2021-07-13
ASX-SXY,AUD,SENEX ENERGY LTD,Energy,NORMAL,0.0,0.0,0.03%,24.67%,"954,045",,0.00%,2021-02-22,2021-07-13
ASX-TYR,AUD,TYRO PAYMENTS LTD,Software & Services,NORMAL,0.0,0.0,0.01%,0.00%,"4,197,900",,-1.35%,2021-02-22,2021-07-13
ASX-WSA,AUD,WESTERN AREAS LTD,Materials,ASX200,0.0,0.04,0.03%,0.00%,"13,774,235",,-6.50%,2021-02-22,2021-07-13
HD,USD,HOME DEPOT INC,,,,,,,,,,2021-02-23,2021-07-13
SQ,USD,SQUARE INC,,,,,,,,,,2021-02-23,2021-07-13
ASX-AX1,AUD,ACCENT GROUP LTD,Retailing,NORMAL,21.2,0.0,0.01%,566.07%,"3,277,401",2.75,0.00%,2021-02-23,2021-07-13
ASX-AWC,AUD,ALUMINA LTD,Materials,ASX200,0.0,0.25,0.04%,19317.26%,"11,674,083",,0.00%,2021-02-23,2021-07-13
ASX-APX,AUD,APPEN LTD,Software & Services,ASX200,0.0,0.22,1.36%,503.48%,"11,362,981",,-3.20%,2021-02-23,2021-07-13
ASX-AEF,AUD,AUSTRALIAN ETHICAL INVESTMENT LTD,Diversified Financials,NORMAL,0.0,0.0,0.01%,0.00%,"1,036,198",,-0.78%,2021-02-23,2021-07-13
ASX-ASG,AUD,AUTOSPORTS GROUP LTD,Retailing,NORMAL,0.0,0.0,0.00%,41.29%,"195,058",,2.56%,2021-02-23,2021-07-13
ASX-BRI,AUD,BIG RIVER INDUSTRIES LTD,Materials,NORMAL,0.0,0.0,0.00%,18.55%,"21,000",,0.00%,2021-02-23,2021-07-13
ASX-CAJ,AUD,CAPITOL HEALTH LTD,Health Care Equipment & Services,PENNY STOCK,,0.0,0.00%,276.29%,"253,652",0.37,1.35%,2021-02-23,2021-07-13
ASX-CVW,AUD,CLEARVIEW WEALTH LTD,Diversified Financials,PENNY STOCK,24.5,0.0,0.00%,1.96%,"9,785",0.49,0.00%,2021-02-23,2021-07-13
ASX-CRN,AUD,CORONADO GLOBAL RESOURCES INC,Materials,PENNY STOCK,-3.1,0.0,0.02%,9686.13%,"2,973,216",0.92,3.80%,2021-02-23,2021-07-13
ASX-APE,AUD,EAGERS AUTOMOTIVE LTD,Retailing,ASX200,0.0,0.1,0.04%,159.99%,"8,977,397",,-1.99%,2021-02-23,2021-07-13
ASX-GEM,AUD,G8 EDUCATION LTD,Consumer Services,ASX200,-4.0,0.05,0.02%,34.15%,"2,824,526",1.01,-1.49%,2021-02-23,2021-07-13
ASX-GAP,AUD,GALE PACIFIC LTD,Consumer Durables & Apparel,PENNY STOCK,10.0,0.0,0.00%,1.57%,"6,833",0.4001,1.23%,2021-02-23,2021-07-13
ASX-HUM,AUD,HUMM GROUP LTD,Diversified Financials,NORMAL,20.2,0.0,0.02%,0.00%,"2,459,339",1.01,-2.97%,2021-02-23,2021-07-13
ASX-ISU,AUD,ISELECT LTD,Consumer Services,PENNY STOCK,-2.4,0.0,0.00%,7.68%,"10,174",0.4502,-2.22%,2021-02-23,2021-07-13
ASX-JHC,AUD,JAPARA HEALTHCARE LTD,Health Care Equipment & Services,NORMAL,0.0,0.0,0.00%,268.10%,"368,541",,1.60%,2021-02-23,2021-07-13
ASX-MAD,AUD,MADER GROUP LTD,Commercial & Professional Services,PENNY STOCK,4.1,0.0,0.00%,319.26%,"33,150",0.91,-1.10%,2021-02-23,2021-07-13
ASX-MYX,AUD,MAYNE PHARMA GROUP LTD,"Pharmaceuticals, Biotechnology & Life Sciences",PENNY STOCK,-2.0,0.04,0.01%,2940.52%,"967,753",0.3201,-1.54%,2021-02-23,2021-07-13
ASX-MND,AUD,MONADELPHOUS GROUP LTD,Capital Goods,ASX200,0.0,0.07,0.12%,367.26%,"5,695,612",,0.46%,2021-02-23,2021-07-13
ASX-NAN,AUD,NANOSONICS LTD,Health Care Equipment & Services,ASX200,0.0,0.13,0.11%,19.21%,"4,396,797",,-2.10%,2021-02-23,2021-07-13
ASX-OSH,AUD,OIL SEARCH LTD,Energy,ASX200,0.0,0.43,0.40%,6757.54%,"29,832,130",,0.26%,2021-02-23,2021-07-13
ASX-RIC,AUD,RIDLEY CORPORATION LTD,"Food, Beverage & Tobacco",NORMAL,0.0,0.0,0.00%,0.00%,"110,792",,0.92%,2021-02-23,2021-07-13
ASX-SEK,AUD,SEEK LTD,Media & Entertainment,ASX200,0.0,0.41,0.01%,0.00%,"39,407,380",,-2.32%,2021-02-23,2021-07-13
ASX-SHJ,AUD,SHINE JUSTICE LTD,Consumer Services,NORMAL,0.0,0.0,0.00%,5.02%,"285,101",,-3.77%,2021-02-23,2021-07-13
ASX-SKI,AUD,SPARK INFRASTRUCTURE GROUP,Utilities,ASX200,0.0,0.21,0.08%,32108.78%,"12,827,586",,-2.61%,2021-02-23,2021-07-13
ASX-SRG,AUD,SRG GLOBAL LTD,Capital Goods,NORMAL,0.0,0.0,0.00%,143.59%,"968,482",,2.80%,2021-02-23,2021-07-13
ASX-SDF,AUD,STEADFAST GROUP LTD,Insurance,ASX200,0.0,0.17,0.02%,3.17%,"4,683,470",,-0.92%,2021-02-23,2021-07-13
ASX-SLC,AUD,SUPERLOOP LTD,Telecommunication Services,PENNY STOCK,-9.2,0.0,0.01%,633.14%,"1,825,077",0.92,1.09%,2021-02-23,2021-07-13
ASX-SYD,AUD,SYDNEY AIRPORT HOLDINGS PTY LTD,Transportation,ASX200,0.0,0.77,0.05%,0.00%,"100,234,083",,-1.02%,2021-02-23,2021-07-13
ASX-TNK,AUD,THINK CHILDCARE LTD,Consumer Services,NORMAL,0.0,0.0,0.00%,12.16%,"70,918",,0.31%,2021-02-23,2021-07-13
ASX-VGI,AUD,VGI PARTNERS LTD,Diversified Financials,NORMAL,0.0,0.0,0.00%,13.00%,"62,273",,-1.01%,2021-02-23,2021-07-13
ASX-VOC,AUD,VOCUS GROUP LTD,Telecommunication Services,ASX200,0.0,0.11,0.00%,0.00%,0,,0.00%,2021-02-23,2021-07-13
ASX-WOW,AUD,WOOLWORTHS GROUP LTD,Food & Staples Retailing,ASX200,0.0,2.58,0.02%,0.00%,"88,770,674",,-1.25%,2021-02-23,2021-07-13
ASX-WOR,AUD,WORLEY LTD,Energy,ASX200,0.0,0.26,0.44%,0.00%,"16,800,734",,0.62%,2021-02-23,2021-07-13
ASX-BGA,AUD,BEGA CHEESE LTD,"Food, Beverage & Tobacco",ASX200,0.0,0.07,0.05%,504.78%,"7,371,790",,-0.19%,2021-02-23,2021-07-13
EXC,USD,EXELON CORP,,,,,,,,,,2021-02-24,2021-07-13
LOW,USD,LOWE'S COMPANIES INC,,,,,,,,,,2021-02-24,2021-07-13
NVDA,USD,NVIDIA CORP,,,,,,,,,,2021-02-24,2021-07-13
DDD,USD,3D SYSTEMS CORP,,,,,,,,,,2021-02-24,2021-07-13
CDNA,USD,CAREDX INC,,,,,,,,,,2021-02-24,2021-07-13
SRPT,USD,SAREPTA THERAPEUTICS INC,,,,,,,,,,2021-02-24,2021-07-13
BKNG,USD,BOOKING HOLDINGS INC,,,,,,,,,,2021-02-24,2021-07-13
TDOC,USD,TELADOC HEALTH INC,,,,,,,,,,2021-02-24,2021-07-13
ASX-ABC,AUD,ADBRI LTD,Materials,ASX200,25.0,0.11,0.03%,307.39%,"4,948,349",3.5,-2.29%,2021-02-24,2021-07-13
ASX-AMX,AUD,AEROMETREX LTD,Commercial & Professional Services,PENNY STOCK,-27.0,0.0,0.00%,0.00%,"27,864",0.81,1.85%,2021-02-24,2021-07-13
ASX-AMA,AUD,AMA GROUP LTD,Commercial & Professional Services,PENNY STOCK,-7.4,0.0,0.49%,4751.00%,"1,089,324",0.5201,1.90%,2021-02-24,2021-07-13
ASX-ALG,AUD,ARDENT LEISURE GROUP LTD,Consumer Services,NORMAL,-2.5,0.0,0.04%,46.33%,"1,299,344",1.0201,-2.96%,2021-02-24,2021-07-13
ASX-ALX,AUD,ATLAS ARTERIA GROUP,Transportation,ASX200,0.0,0.34,0.08%,15226.18%,"15,486,118",,-2.02%,2021-02-24,2021-07-13
ASX-ANG,AUD,AUSTIN ENGINEERING LTD,Capital Goods,PENNY STOCK,14.0,0.0,0.00%,0.00%,0,0.14,0.00%,2021-02-24,2021-07-13
ASX-AVG,AUD,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",PENNY STOCK,10.7,0.0,0.00%,0.00%,0,0.7518,-1.24%,2021-02-24,2021-07-13
ASX-ABA,AUD,AUSWIDE BANK LTD,Banks,NORMAL,0.0,0.0,0.00%,0.00%,"116,383",,0.16%,2021-02-24,2021-07-13
ASX-AVN,AUD,AVENTUS GROUP,Real Estate,NORMAL,0.0,0.0,0.02%,24.48%,"3,622,266",,0.00%,2021-02-24,2021-07-13
ASX-BGA,AUD,BEGA CHEESE LTD,"Food, Beverage & Tobacco",ASX200,0.0,0.07,0.05%,504.78%,"7,371,790",,-0.19%,2021-02-24,2021-07-13
ASX-BTH,AUD,BIGTINCAN HOLDINGS LTD,Software & Services,NORMAL,0.0,0.0,0.00%,49.28%,"1,287,267",,-4.41%,2021-02-24,2021-07-13
ASX-BKL,AUD,BLACKMORES LTD,Household & Personal Products,ASX200,0.0,0.08,0.05%,0.17%,"2,117,946",,0.45%,2021-02-24,2021-07-13
ASX-BVS,AUD,BRAVURA SOLUTIONS LTD,Software & Services,ASX200,0.0,0.07,0.02%,3160.21%,"4,105,929",,-1.76%,2021-02-24,2021-07-13
ASX-CDD,AUD,CARDNO LTD,Commercial & Professional Services,PENNY STOCK,44.5,0.0,0.01%,1122.90%,"276,936",0.89,3.37%,2021-02-24,2021-07-13
ASX-FCL,AUD,FINEOS CORPORATION HOLDINGS PLC,Software & Services,NORMAL,0.0,0.0,0.00%,149.80%,"364,803",,0.00%,2021-02-24,2021-07-13
ASX-GNG,AUD,GR ENGINEERING SERVICES LTD,Materials,NORMAL,0.0,0.0,0.00%,0.00%,"264,518",,0.00%,2021-02-24,2021-07-13
ASX-GTN,AUD,GTN LTD,Media & Entertainment,PENNY STOCK,-15.0,0.0,0.00%,0.04%,"2,265",0.45,-1.11%,2021-02-24,2021-07-13
ASX-HT1,AUD,HT&E LTD,Media & Entertainment,NORMAL,0.0,0.0,0.02%,1.77%,"246,881",,-2.51%,2021-02-24,2021-07-13
ASX-IEL,AUD,IDP EDUCATION LTD,Consumer Services,ASX200,0.0,0.28,0.02%,1076.85%,"14,167,435",,-0.30%,2021-02-24,2021-07-13
ASX-IMR,AUD,IMRICOR MEDICAL SYSTEMS INC,Health Care Equipment & Services,NORMAL,0.0,0.0,0.00%,0.67%,"19,404",,-0.79%,2021-02-24,2021-07-13
ASX-IVC,AUD,INVOCARE LTD,Consumer Services,ASX200,0.0,0.09,0.56%,8.73%,"4,237,580",,-1.33%,2021-02-24,2021-07-13
ASX-IFL,AUD,IOOF HOLDINGS LTD,Diversified Financials,ASX200,0.0,0.1,0.06%,0.00%,"7,642,911",,-0.23%,2021-02-24,2021-07-13
ASX-IGL,AUD,IVE GROUP LTD,Media & Entertainment,NORMAL,0.0,0.0,0.00%,0.00%,"342,500",,-2.72%,2021-02-24,2021-07-13
ASX-JAY,AUD,JAYRIDE GROUP LTD,Retailing,PENNY STOCK,-4.8,0.0,0.00%,9.59%,"31,918",0.24,-4.17%,2021-02-24,2021-07-13
ASX-KSC,AUD,K&S CORPORATION LTD,Transportation,NORMAL,0.0,0.0,0.00%,1.73%,"43,930",,0.65%,2021-02-24,2021-07-13
ASX-MMS,AUD,MCMILLAN SHAKESPEARE LTD,Commercial & Professional Services,ASX200,0.0,0.04,0.02%,0.77%,"628,944",,-0.77%,2021-02-24,2021-07-13
ASX-MPL,AUD,MEDIBANK PRIVATE LTD,Insurance,ASX200,0.0,0.45,2.92%,0.00%,"18,880,572",,-0.31%,2021-02-24,2021-07-13
ASX-MHJ,AUD,MICHAEL HILL INTERNATIONAL LTD,Retailing,PENNY STOCK,16.4,0.0,0.01%,289.04%,"80,482",0.82,0.00%,2021-02-24,2021-07-13
ASX-MWY,AUD,MIDWAY LTD,Materials,NORMAL,0.0,0.0,0.01%,168.00%,"114,118",,1.82%,2021-02-24,2021-07-13
ASX-MGX,AUD,MOUNT GIBSON IRON LTD,Materials,PENNY STOCK,9.1,0.0,0.01%,447.82%,"1,074,688",0.91,1.64%,2021-02-24,2021-07-13
ASX-NSR,AUD,NATIONAL STORAGE REIT,Real Estate,ASX200,0.0,0.1,0.37%,421.89%,"6,329,436",,-0.95%,2021-02-24,2021-07-13
ASX-NEW,AUD,NEW ENERGY SOLAR LTD,Utilities,PENNY STOCK,-4.7,0.0,0.00%,48.02%,"260,341",0.85,-1.18%,2021-02-24,2021-07-13
ASX-NEC,AUD,NINE ENTERTAINMENT CO HOLDINGS LTD,Media & Entertainment,ASX200,0.0,0.15,0.03%,165082.40%,"15,646,774",,-1.53%,2021-02-24,2021-07-13
ASX-NTO,AUD,NITRO SOFTWARE LTD,Software & Services,NORMAL,0.0,0.0,0.00%,123043.98%,"8,041,022",,2.53%,2021-02-24,2021-07-13
ASX-ONE,AUD,ONEVIEW HEALTHCARE PLC,Health Care Equipment & Services,PENNY STOCK,-4.6,0.0,0.00%,20853.37%,"531,212",0.3699,-1.35%,2021-02-24,2021-07-13
ASX-PRU,AUD,PERSEUS MINING LTD,Materials,NORMAL,0.0,0.0,0.04%,706.84%,"9,290,688",,-4.49%,2021-02-24,2021-07-13
ASX-PBH,AUD,POINTSBET HOLDINGS LTD,Consumer Services,NORMAL,0.0,0.0,0.07%,77.47%,"11,229,240",,0.89%,2021-02-24,2021-07-13
ASX-PFP,AUD,PROPEL FUNERAL PARTNERS LTD,Consumer Services,NORMAL,0.0,0.0,0.00%,0.91%,"78,225",,-2.62%,2021-02-24,2021-07-13
ASX-PGL,AUD,PROSPA GROUP LTD,Diversified Financials,NORMAL,0.0,0.0,0.00%,541.61%,"76,899",,-1.34%,2021-02-24,2021-07-13
ASX-QIP,AUD,QANTM INTELLECTUAL PROPERTY LTD,Commercial & Professional Services,NORMAL,0.0,0.0,0.00%,0.98%,"17,133",,-0.85%,2021-02-24,2021-07-13
ASX-QUB,AUD,QUBE HOLDINGS LTD,Transportation,ASX200,0.0,0.3,0.01%,113.30%,"18,406,661",,-1.68%,2021-02-24,2021-07-13
ASX-REG,AUD,REGIS HEALTHCARE LTD,Health Care Equipment & Services,NORMAL,0.0,0.0,0.00%,0.00%,"204,244",,-1.03%,2021-02-24,2021-07-13
ASX-SCG,AUD,SCENTRE GROUP,Real Estate,ASX200,0.0,0.66,0.04%,0.00%,"54,602,760",,-1.81%,2021-02-24,2021-07-13
ASX-SPZ,AUD,SMART PARKING LTD,Technology Hardware & Equipment,PENNY STOCK,,0.0,0.00%,0.00%,"49,947",0.2201,0.00%,2021-02-24,2021-07-13
ASX-SIQ,AUD,SMARTGROUP CORPORATION LTD,Commercial & Professional Services,ASX200,0.0,0.05,0.00%,674.31%,"1,775,400",,-0.14%,2021-02-24,2021-07-13
ASX-TPG,AUD,TPG TELECOM LTD,Telecommunication Services,NORMAL,0.0,0.0,0.01%,525.84%,"7,600,058",,0.65%,2021-02-24,2021-07-13
ASX-WGN,AUD,WAGNERS HOLDING COMPANY LTD,Materials,NORMAL,0.0,0.0,0.00%,8.70%,"772,713",,-2.48%,2021-02-24,2021-07-13
ASX-WPP,AUD,WPP AUNZ LTD,,,,,,,,,,2021-02-24,2021-07-13
ASX-EAX,AUD,ENERGY ACTION LTD,Commercial & Professional Services,PENNY STOCK,-3.3,0.0,0.00%,0.00%,0,0.265,0.00%,2021-02-24,2021-07-13
ASX-RMC,AUD,RESIMAC GROUP LTD,Banks,NORMAL,0.0,0.0,0.00%,4.46%,"338,659",,-2.47%,2021-02-24,2021-07-13
ASX-WTC,AUD,WISETECH GLOBAL LTD,Software & Services,ASX200,0.0,0.38,0.03%,0.00%,"39,426,415",,-2.89%,2021-02-24,2021-07-13
ASX-SSM,AUD,SERVICE STREAM LTD,Capital Goods,PENNY STOCK,10.4,0.05,0.02%,0.00%,"1,238,559",0.94,-1.06%,2021-02-24,2021-07-13
EOG,USD,EOG RESOURCES INC,,,,,,,,,,2021-02-25,2021-07-13
HPQ,USD,HP INC,,,,,,,,,,2021-02-25,2021-07-13
AMT,USD,AMERICAN TOWER CORP,,,,,,,,,,2021-02-25,2021-07-13
PSA,USD,PUBLIC STORAGE,,,,,,,,,,2021-02-25,2021-07-13
BBY,USD,BEST BUY CO INC,,,,,,,,,,2021-02-25,2021-07-13
AWK,USD,AMERICAN WATER WORKS COMPANY INC,,,,,,,,,,2021-02-25,2021-07-13
ZS,USD,ZSCALER INC,,,,,,,,,,2021-02-25,2021-07-13
PTCT,USD,PTC THERAPEUTICS INC,,,,,,,,,,2021-02-25,2021-07-13
RUN,USD,SUNRUN INC,,,,,,,,,,2021-02-25,2021-07-13
ASX-APT,AUD,AFTERPAY LTD,Software & Services,ASX200,-515.2,0.74,0.31%,44.20%,"105,236,551",123.65,-4.97%,2021-02-25,2021-07-13
ASX-APZ,AUD,ASPEN GROUP LTD,Real Estate,NORMAL,0.0,0.0,0.00%,0.00%,8,,0.00%,2021-02-25,2021-07-13
ASX-ASB,AUD,AUSTAL LTD,Capital Goods,ASX200,0.0,0.08,0.07%,858.65%,"6,686,551",,-2.84%,2021-02-25,2021-07-13
ASX-BLY,AUD,BOART LONGYEAR LTD,Materials,PENNY STOCK,-0.2,0.0,0.00%,2.86%,"3,933",0.3001,13.11%,2021-02-25,2021-07-13
ASX-DDR,AUD,DICKER DATA LTD,Technology Hardware & Equipment,NORMAL,0.0,0.0,0.01%,0.50%,"1,753,642",,-1.79%,2021-02-25,2021-07-13
ASX-EOS,AUD,ELECTRO OPTIC SYSTEMS HOLDINGS LTD,Capital Goods,NORMAL,0.0,0.0,0.06%,0.00%,"1,652,735",,0.24%,2021-02-25,2021-07-13
ASX-GOZ,AUD,GROWTHPOINT PROPERTIES AUSTRALIA LTD,Real Estate,ASX200,0.0,0.14,0.01%,64.26%,"2,291,718",,-0.25%,2021-02-25,2021-07-13
ASX-HSN,AUD,HANSEN TECHNOLOGIES LTD,Software & Services,NORMAL,0.0,0.0,0.02%,337.26%,"4,265,953",,-1.11%,2021-02-25,2021-07-13
ASX-ILU,AUD,ILUKA RESOURCES LTD,Materials,ASX200,0.0,0.21,0.07%,246.91%,"16,741,023",,-3.06%,2021-02-25,2021-07-13
ASX-IME,AUD,IMEXHS LTD,Health Care Equipment & Services,PENNY STOCK,-1.6,0.0,0.00%,0.97%,"3,782",0.2459,-0.82%,2021-02-25,2021-07-13
ASX-360,AUD,LIFE360 INC,Software & Services,NORMAL,0.0,0.0,0.00%,56.69%,"2,895,516",,0.29%,2021-02-25,2021-07-13
ASX-LNK,AUD,LINK ADMINISTRATION HOLDINGS LTD,Software & Services,ASX200,0.0,0.13,0.02%,2028.91%,"17,212,508",,-2.57%,2021-02-25,2021-07-13
ASX-MMM,AUD,MARLEY SPOON AG,Consumer Services,NORMAL,0.0,0.0,0.00%,76.83%,"668,546",,0.36%,2021-02-25,2021-07-13
ASX-MSB,AUD,MESOBLAST LTD,"Pharmaceuticals, Biotechnology & Life Sciences",NORMAL,0.0,0.0,0.01%,94.87%,"3,080,486",,-1.46%,2021-02-25,2021-07-13
ASX-NXT,AUD,NEXTDC LTD,Software & Services,ASX200,0.0,0.24,0.05%,406.91%,"49,437,683",,-4.11%,2021-02-25,2021-07-13
ASX-PAL,AUD,PALLA PHARMA LTD,"Pharmaceuticals, Biotechnology & Life Sciences",PENNY STOCK,-1.5,0.0,0.00%,49.46%,"80,138",0.38,-1.30%,2021-02-25,2021-07-13
ASX-PRT,AUD,PRIME MEDIA GROUP LTD,Media & Entertainment,PENNY STOCK,7.3,0.0,0.00%,6.00%,"10,307",0.2201,-2.22%,2021-02-25,2021-07-13
ASX-QAN,AUD,QANTAS AIRWAYS LTD,Transportation,ASX200,0.0,0.35,0.09%,0.00%,"36,353,426",,-2.68%,2021-02-25,2021-07-13
